theta_deg,volume_m3,pressure_pa,temperature_k,mass_kg,mdot_intake_kg_s,mdot_exhaust_kg_s,intake_lift_frac,exhaust_lift_frac,dm_fuel_main_mg_per_deg,dq_comb_j_per_deg,dq_wall_j_per_deg,torque_indicated_nm_per_cyl
-299.0,0.00017770907174119107,152221.60093215332,300.26408945014884,0.00031390670451509733,0.0679072046137908,-0.0,0.8625098039215688,0.0,0.0,0.0,-0.0014070105642336643,36.78858268519607
-298.0,0.000181938091282546,152281.512004818,300.2917062566925,0.0003214737972509261,0.06828121214478113,-0.0,0.8730980392156864,0.0,0.0,0.0,-0.0014241541306377378,36.99135265969606
-297.0,0.00018618775665320893,152339.83082579996,300.31791343574895,0.0003290799734398633,0.06862761094515961,-0.0,0.8833594771241831,0.0,0.0,0.0,-0.0014413885979661406,37.177574566536144
-296.0,0.0001904562021851402,152397.93412821594,300.3434632273832,0.0003367240364442347,0.06896164081141289,-0.0,0.8936209150326798,0.0,0.0,0.0,-0.00145870787373783,37.34761001212334
-295.0,0.00019474156845820278,152456.69543461673,300.36883201391294,0.0003444041714325306,0.0692760842556241,-0.0,0.9038823529411764,0.0,0.0,0.0,-0.0014761054963024032,37.50171538178952
-294.0,0.0001990420037166299,152514.57021221935,300.393264206066,0.0003521145597893985,0.06951113666078491,-0.0,0.9131960784313724,0.0,0.0,0.0,-0.0014935717821979533,37.639565688858866
-293.0,0.00020335566527283742,152571.11811623452,300.4165858408393,0.00035985107296873604,0.06974386124781416,-0.0,0.9225098039215684,0.0,0.0,0.0,-0.001511098253406572,37.761116779945475
-292.0,0.00020768072089623303,152627.70021332146,300.43952425232874,0.0003676127626372094,0.06996295538008643,-0.0,0.9318235294117645,0.0,0.0,0.0,-0.0015286791199561986,37.86678313336339
-291.0,0.00021201535018464617,152684.728351684,300.4623100573628,0.0003753971815351212,0.07013536844164875,-0.0,0.9407450980392156,0.0,0.0,0.0,-0.0015463075356300527,37.95675884979464
-290.0,0.00021635774591600613,152740.09474159748,300.48390547189894,0.000383197257150614,0.07026558209764679,-0.0,0.949078431372549,0.0,0.0,0.0,-0.0015639729718491713,38.03062319230872
-289.0,0.00022070611537788507,152794.81248037642,300.5048630669775,0.00039101154031947257,0.07038914252561992,-0.0,0.9574117647058822,0.0,0.0,0.0,-0.0015816692460191054,38.088742386254815
-288.0,0.00022505868167253188,152849.87693021353,300.5257100313393,0.00039883873976366324,0.07049699694820186,-0.0,0.9657450980392158,0.0,0.0,0.0,-0.0015993904616885483,38.13149152587145
-287.0,0.00022941368499504423,152904.49695634976,300.54606259205235,0.00040667421754204107,0.0705317798058904,-0.0,0.9731895424836602,0.0,0.0,0.0,-0.001617128262313133,38.15881189687479
-286.0,0.00023376938388234902,152957.4557870524,300.56533750065984,0.0004145123669675101,0.07055441867697206,-0.0,0.9804117647058823,0.0,0.0,0.0,-0.0016348734517469387,38.17054942493575
-285.0,0.0002381240564306961,153010.09022650638,300.5842396345815,0.0004223526669732756,0.07056879642903623,-0.0,0.9876339869281046,0.0,0.0,0.0,-0.0016526207499580762,38.167198560176196
-284.0,0.00024247600147942112,153063.05850838815,300.60311667166013,0.00043019342963150604,0.07055267595561825,-0.0,0.9946339869281046,0.0,0.0,0.0,-0.001670364169449434,38.14909497841645
-283.0,0.00024682353975878863,153114.27351924038,300.62093095322496,0.0004380272633296976,0.0704273819343805,-0.0,1.0007450980392159,0.0,0.0,0.0,-0.0016880935521062432,38.11590049591946
-282.0,0.0002511650149997841,153153.6833400195,300.63267321182934,0.00044582920730509796,0.07003532187645113,-0.0,1.0068562091503268,0.0,0.0,0.0,-0.0017057854971166207,38.065310271485686
-281.0,0.0002554987950038119,153181.2665646811,300.63847281734127,0.0004535947914562327,0.06975946747562553,-0.0,1.012967320261438,0.0,0.0,0.0,-0.0017234308846072108,37.997537653069955
-280.0,0.0002598232726703317,153203.09994284858,300.64148385115413,0.00046133329436757537,0.06954025951837144,-0.0,1.0183529411764707,0.0,0.0,0.0,-0.0017410311314216647,37.9143207870777
-279.0,0.0002641368669805616,153222.59250458176,300.64346273971523,0.00046904894866561233,0.06934390748693839,-0.0,1.0232549019607844,0.0,0.0,0.0,-0.0017585845113684633,37.81673820208058
-278.0,0.00026843802393548594,153241.65872958396,300.64538472505876,0.0004767431255536122,0.06915125530897152,-0.0,1.028156862745098,0.0,0.0,0.0,-0.0017760875555696625,37.705501615375184
-277.0,0.0002727252174465062,153261.37159496432,300.6477863957403,0.000484415573988564,0.0689514455615552,-0.0,1.0330588235294118,0.0,0.0,0.0,-0.0017935358433295988,37.58111890561336
-276.0,0.00027699695017720444,153282.3267487704,300.65095647279185,0.000492065124284305,0.06873834257082014,-0.0,1.036686274509804,0.0,0.0,0.0,-0.0018109244495228295,37.44398488299884
-275.0,0.0002812517543348096,153304.84663848107,300.6550426479355,0.0004996900895172866,0.06850851367164632,-0.0,1.040313725490196,0.0,0.0,0.0,-0.001828248199288647,37.294432018010745
-274.0,0.0002854881924100948,153329.09572780284,300.6601118249401,0.0005072884961147113,0.06826008554638723,-0.0,1.0439411764705882,0.0,0.0,0.0,-0.0018455018144305124,37.1327589091268
-273.0,0.0002897048578645712,153355.14604753297,300.66618434585473,0.0005148582174142899,0.06799209244503807,-0.0,1.0470718954248364,0.0,0.0,0.0,-0.0018626799986270334,36.95924630887831
-272.0,0.0002939003757639933,153383.01481102454,300.6732535903486,0.0005223970517485469,0.0677041020946242,-0.0,1.0494575163398692,0.0,0.0,0.0,-0.0018797774878116418,36.77416614906146
-271.0,0.00029807340335734323,153412.68619780443,300.68129728863676,0.0005299027685770388,0.0673959993455936,-0.0,1.051843137254902,0.0,0.0,0.0,-0.0018967890805463286,36.577786597018395
-270.0,0.00030222263060060824,153444.1240947381,300.69028410371726,0.0005373731360717324,0.06706786005267894,-0.0,1.0542287581699346,0.0,0.0,0.0,-0.0019137096567846525,36.37037484425107
-269.0,0.0003063467806248404,153477.27963229225,300.7001774923231,0.0005448059378504162,0.06671987695953206,-0.0,1.0555686274509803,0.0,0.0,0.0,-0.0019305341898134061,36.152198589186824
-268.0,0.00031044461014812636,153512.09570192226,300.7109379890026,0.0005521989833082436,0.06635231577874391,-0.0,1.0566470588235293,0.0,0.0,0.0,-0.0019472577541263163,35.923526762139375
-267.0,0.000314514909831279,153548.5097094602,300.7225245701261,0.000559550114140152,0.06596548893341658,-0.0,1.0577254901960782,0.0,0.0,0.0,-0.001963875530824892,35.684629807243006
-266.0,0.00031855650457720755,153586.45529030627,300.73489547758,0.0005668572085756791,0.06555973970197962,-0.0,1.0585424836601307,0.0,0.0,0.0,-0.0019803828114775845,35.43577970364892
